name,address,lat,lon
Akron-Canton Regional Foodbank,350 Opportunity Parkway Akron OH 44307,1.0725,81.5361
Freestore Foodbank,3401 Rosenthal Way Cincinnati OH 45204,39.08,-84.58
Greater Cleveland Food Bank,13815 Coit Rd Cleveland OH 44110,41.55,-81.59
Mid-Ohio Food Collective,3960 Brookham Drive Grove City OH 43123,39.88,-83.05
Second Harvest Food Bank of Clark Champaign and Logan,20 N Murray Street Springfield OH 45503,39.9790,-83.842
Second Harvest Food Bank of North Central Ohio,5510 Baumhart Road Lorain OH 44053,41.42,-82.28
Second Harvest Food Bank of the Mahoning Valley,2805 Salt Springs Road Youngstown OH 44509,41.13,-80.71
Shared Harvest Foodbank,5901 Dixie Highway Fairfield OH 45014,39.33,-84.52
Southeast Ohio Foodbank & Kitchen,1005 CIC Drive Logan OH 43138,39.5447,-82.4285
The Foodbank Inc.,56 Armor Place Dayton OH 45417,39.7483,-84.21
Toledo Northwestern Ohio Food Bank,24 East Woodruff Avenue Toledo OH 43604,41.6599,-83.5445
West Ohio Food Bank,1380 East Kibby Street Lima OH 45804,40.73,-84.08
Action Ministries Inc.,4375 Boron Dr. Covington KY 41015,39.083686,-84.508495
Be Concerned,1100 Pike Street Covington KY 41011,39.067719,-84.516426
Brighton Center Inc. Florence,11 Shelby St Florence KY 41042,39.0069,-84.6293
Brighton Center Inc. Newport,799 Ann St Newport KY 41071,39.0811,-84.4988
Care Mission, 11093 Alexandria Pk Alexandria KY 41001,38.882092,-84.388274
Cincinnati Pet Food Pantry,5207 Madison Road Suite B-100 Cincinnati Ohio 45227,39.1418,-84.4287
Epworth Methodist Church West Covington,1229 Highway Ave Covington KY 41011,39.09,-84.53
Fairhaven Covington,260 W. Pike Street Covington KY 41011,39.08,-84.51
Family Support Boone Co.,8311 US Highway 42 Florence KY 41042,38.9989,-84.6266
Family Support Campbell Co.,Watertower Sq. 4th Flr 601 Washington Avenue Newport KY 41071,39.088970,-84.500786
Family Support Kenton Co.,19 East Pike 2nd floor Covington KY 41011,39.083670,-84.508550
First Assembly Of God,9126 Alexandria Pike Alexandria KY 41001,38.94,-84.39
"First Christian Church ""Sunday Night Live""",14 West 5th Street Covington KY 41011,39.0836,-84.5090
Freestore Food Bank,112 E. Liberty St. Cincinnati Ohio,39.11,-84.51
Garrard St. Church of Christ,218 Garrard St. Covington KY 41011,39.0836,-84.5090
Harvest Ministries Erlanger Baptist Church,16 Commonwealth Ave Erlanger KY 41018,39.0159,-84.5828
Holy Spirit Outreach,809 York St Newport KY 41071,39.09,-84.50
Homeward Bound Shelter (Brighton Center),13 E. 20th St Covington KY 41014,39.0684,-84.5097
Hope Ministries,263 Main St. Florence KY 41042,38.9989,-84.6266
Hosea House,901 York St Newport KY 41071,39.09,-84.49
Main St. Care Mission,11093 Alexandria Pike Alexandria KY 41001,38.882092,-84.388274
Mary Rose Mission,272 Main Street Florence KY 41042,39.0060,-84.6296
New Beginnings Community Church,522 5th Ave Dayton KY 41074,39.1128,-84.4727
New Hope Christian Center,941 Central Ave Newport KY 41071,39.09,-84.50
New Hope Ministry Center of Immanuel United Methodist,22 William F. Blatt Ave Southgate KY 41071,39.0838,-84.4754
NKCAC - Boone Co.,6555 Nicholas Street Suite A2 Florence KY 41042,39.0063,-84.6187
NKCAC - Campbell Co.,437 W 9th St Newport KY 41071,39.091,-84.495
NKCAC- Kenton Co.,717 Madison Avenue Covington KY 41011,39.0829,-84.5103
NKCAC-Carroll Co.,1014 Seminary St Carrollton KY 41008,38.679,-85.176
NKCAC-Gallatin Co.,100 Davis St Warsaw KY 41095,38.79,-84.89
NKCAC-Grant Co.,1116 N. Main St. Williamstown KY 41097,38.65,-84.57
NKCAC-Owen Co.,109 South Madison Owenton KY 40359,38.54,-84.84
NKCAC-Pendleton Co.,251 KY-330 Falmouth KY 41040,38.6793,-84.3411
Pantry of Hope at First Baptist Church of Highland Heights,2315 Alexandria Pike Highland Heights KY 41076,39.04,-84.45
Parish Kitchen,1561 Madison Ave. Covington KY 41011,39.0699,-84.5100
Rose Garden Home Mission,2020 - 2040 Madison Avenue Covington KY 41014,39.07,-84.51
Salvation Army - Campbell,340 West 10th St Newport KY 41071,39.09,-84.50
Salvation Army - Kenton,1806 Scott Blvd Covington KY 41014,39.07,-84.5
South Side Baptist Church,1501 Holman Ave Covington KY 41011,39.07,-84.5
St. Augustine Parish Outreach Center,2523 Todd Ct. Covington KY 41011,39.06,-84.51
St. Bernard Parish,401 Berry St. Dayton KY 41074,39.11,-84.47
St. John's United Church Of Christ,415 Park Ave Newport KY,39.089,-84.493
St. Vincent De Paul,2655 Crescent Springs Rd Crescent Springs KY 41017,39.05,-84.58
St.Paul's Episcopal,7 Ct Place Newport KY 41071,39.0888,-84.5007
Trinity Baptist Church,510 Park Avenue Newport KY 41071,39.088,-84.493
True Holiness Covenant of Peace,903 Greenup St Covington KY 41011,39.081558,-84.506577
United Christian Volunteers,15 Kenton Street Elsmere KY 41018,39.01,-84.61
United Ministries,525 Graves Ave Erlanger KY 41018,39.01,-84.61
Vineyard Christian Church,7101 Pleasant Valley Road Florence KY 41042,38.998,-84.704
Welcome House,205 Pike St Covington KY 41011,39.08,-84.51
YWCA Food Pantry,55 South 4th St. Batavia OH 45103,39.066,-84.180
